Participant,Age,NineEnd,EndDigit,Happy,Married,Children,Gender,LiveParents,Employed,Meaning
939,51,0,1,2,1,4,1,2,1,3
323,37,0,7,1,1,4,2,2,5,4
268,28,0,8,2,1,0,1,2,1,1
279,26,0,6,1,2,0,2,2,6,2
710,49,9,9,1,3,1,2,2,4,4
944,36,0,6,2,1,2,2,2,1,2
565,57,0,7,2,5,3,2,2,4,3
567,44,0,4,2,3,0,2,2,1,3
583,29,9,9,3,6,0,1,1,7,4
579,57,0,7,2,1,4,2,2,3,3
571,64,0,4,1,3,2,2,2,4,3
956,33,0,3,1,1,2,2,2,5,4
955,36,0,6,1,1,4,2,2,2,3
296,29,9,9,2,2,2,2,2,5,4
294,54,0,4,2,1,6,2,2,1,4
293,36,0,6,1,1,1,2,2,5,3
292,39,9,9,2,3,0,1,2,1,2
300,62,0,2,1,5,1,2,2,4,3
581,37,0,7,1,1,2,2,2,3,3
952,48,0,8,2,1,3,2,2,1,3
564,54,0,4,1,1,1,1,2,1,2
949,48,0,8,2,1,2,2,2,1,4
592,51,0,1,2,1,3,1,2,1,3
963,45,0,5,2,6,0,2,2,1,3
315,49,9,9,2,1,2,1,2,1,3
595,59,9,9,2,1,4,2,2,2,4
280,50,0,0,2,3,2,2,2,1,4
277,49,9,9,2,2,2,2,2,1,3
601,34,0,4,1,1,1,1,2,1,3
276,29,9,9,2,6,0,2,2,1,4
275,64,0,4,1,5,2,2,2,4,2
320,45,0,5,1,1,4,1,2,1,3
606,53,0,3,2,1,3,2,2,1,3
39,25,0,5,1,1,0,1,2,3,4
938,35,0,5,2,1,3,1,2,1,2
612,64,0,4,3,3,0,2,2,4,4
617,40,0,0,2,6,0,2,2,7,4
547,57,0,7,3,1,3,2,2,7,4
930,57,0,7,2,1,3,1,2,1,3
354,45,0,5,2,1,1,2,2,1,4
355,51,0,1,2,1,1,1,2,2,4
53,38,0,8,2,1,2,1,2,1,3
623,32,0,2,2,1,3,1,2,1,4
927,32,0,2,2,1,2,2,2,1,3
356,32,0,2,3,2,0,2,2,7,4
967,49,9,9,1,3,1,2,2,1,2
360,58,0,8,2,1,3,1,2,1,2
60,29,9,9,1,1,1,2,2,8,3
921,50,0,0,2,1,3,2,2,1,2
920,49,9,9,3,1,2,1,2,6,4
257,41,0,1,2,1,3,2,2,5,4
635,28,0,8,1,2,0,2,2,1,2
65,43,0,3,2,1,2,2,2,1,3
67,36,0,6,2,1,2,1,2,1,1
915,39,9,9,1,1,1,2,2,1,3
639,36,0,6,2,6,0,1,2,7,4
254,43,0,3,1,1,6,2,2,6,4
252,58,0,8,1,1,2,2,2,7,3
69,60,0,0,1,5,0,2,2,4,4
362,40,0,0,2,1,0,1,2,7,3
910,26,0,6,2,6,0,2,2,1,4
74,60,0,0,2,1,2,1,2,2,3
363,25,0,5,2,6,0,2,2,6,2
648,56,0,6,1,2,1,2,2,4,3
249,39,9,9,1,2,0,1,2,1,3
651,46,0,6,2,6,1,2,2,1,4
652,49,9,9,2,5,2,2,2,4,4
537,32,0,2,2,3,1,2,2,6,4
536,26,0,6,2,4,2,2,2,5,4
535,59,9,9,2,3,2,1,2,4,1
534,30,0,0,2,6,0,1,2,1,4
658,50,0,0,1,3,2,1,2,3,4
904,33,0,3,2,6,0,2,2,1,4
903,40,0,0,2,1,0,1,2,1,4
532,47,0,7,4,4,2,1,2,7,4
664,42,0,2,2,6,0,2,2,7,4
369,64,0,4,2,5,2,2,2,4,3
241,40,0,0,3,3,2,2,2,7,2
370,45,0,5,2,1,1,1,2,1,2
672,27,0,7,2,6,0,1,2,7,1
372,62,0,2,2,6,0,1,2,4,3
229,59,9,9,2,3,2,2,2,1,4
981,43,0,3,3,5,1,1,2,1,4
890,43,0,3,2,6,0,1,2,1,2
86,26,0,6,2,2,0,2,2,7,4
525,31,0,1,3,2,0,2,2,1,3
88,51,0,1,2,1,2,1,2,1,3
886,43,0,3,2,6,0,1,2,1,2
523,33,0,3,1,1,1,1,2,1,2
522,48,0,8,2,1,3,2,2,1,3
685,38,0,8,2,1,2,1,2,1,2
519,42,0,2,1,1,2,2,2,1,3
518,33,0,3,2,2,0,2,2,1,3
983,54,0,4,3,3,3,2,2,1,4
884,30,0,0,2,6,0,2,2,1,4
376,55,0,5,2,6,2,1,2,7,2
379,55,0,5,3,1,2,2,2,7,2
510,36,0,6,1,2,0,2,2,3,3
509,31,0,1,1,1,2,2,2,1,4
696,41,0,1,2,6,0,2,2,1,4
381,48,0,8,2,1,3,1,2,4,3
29,50,0,0,2,1,0,1,2,1,4
506,45,0,5,1,3,0,1,2,7,2
203,53,0,3,1,3,3,1,2,3,4
987,50,0,0,2,3,1,1,2,1,2
93,39,9,9,2,3,3,2,2,6,4
194,63,0,3,2,4,1,2,2,4,4
502,53,0,3,2,1,3,2,2,4,4
382,42,0,2,2,1,3,1,2,3,2
96,26,0,6,2,3,1,2,2,6,1
189,25,0,5,2,2,0,1,2,1,4
498,27,0,7,2,6,0,1,2,1,2
713,54,0,4,1,2,2,2,2,1,3
97,49,9,9,1,1,0,2,2,1,4
98,53,0,3,1,1,1,2,2,8,3
870,30,0,0,2,1,2,2,2,1,4
383,61,0,1,2,1,3,1,2,4,2
186,25,0,5,2,2,0,1,2,1,3
104,28,0,8,1,1,2,2,2,5,3
105,58,0,8,2,1,1,2,2,1,4
28,30,0,0,2,1,2,2,2,1,3
857,50,0,0,2,1,6,2,2,3,4
724,25,0,5,2,3,0,2,2,1,4
112,35,0,5,1,1,2,2,2,6,3
852,62,0,2,2,1,2,2,2,4,3
387,49,9,9,2,1,2,2,2,1,3
850,29,9,9,2,6,1,2,2,1,3
388,55,0,5,2,1,3,1,2,1,4
125,37,0,7,1,1,0,1,2,1,3
489,39,9,9,2,1,2,1,2,1,3
487,49,9,9,2,1,3,2,2,1,4
485,33,0,3,1,1,1,2,2,1,3
395,46,0,6,4,6,0,1,2,4,1
738,53,0,3,3,2,1,2,2,1,4
396,56,0,6,2,1,2,2,2,7,1
747,64,0,4,3,3,1,1,2,4,2
13,39,9,9,2,2,1,1,2,1,3
749,40,0,0,2,6,0,2,2,1,4
131,44,0,4,2,1,3,1,2,1,3
399,35,0,5,2,2,0,2,2,1,2
401,41,0,1,2,1,1,1,2,1,3
404,35,0,5,2,1,4,2,2,1,2
407,55,0,5,1,1,2,1,2,1,3
831,38,0,8,2,1,2,2,2,5,3
759,48,0,8,1,3,3,2,2,4,4
165,54,0,4,1,1,1,2,2,1,2
828,38,0,8,1,1,0,2,2,3,3
163,36,0,6,1,3,0,2,2,1,3
826,63,0,3,2,1,0,1,2,4,2
822,54,0,4,2,1,4,2,2,1,2
767,56,0,6,3,6,0,1,2,4,2
768,25,0,5,2,2,0,2,2,6,3
769,25,0,5,2,2,0,1,2,6,3
819,64,0,4,2,1,1,2,2,1,4
408,55,0,5,1,1,2,2,2,8,4
6,42,0,2,2,3,1,2,2,1,4
1012,57,0,7,1,1,2,2,2,7,3
775,26,0,6,2,2,0,1,2,2,3
778,41,0,1,1,1,2,2,2,1,4
161,45,0,5,2,3,1,2,2,4,4
5,34,0,4,1,2,1,1,2,1,2
783,39,9,9,1,1,6,2,2,1,4
785,25,0,5,1,6,0,1,1,1,3
157,36,0,6,2,6,0,1,2,7,3
790,48,0,8,3,1,1,2,2,7,3
791,32,0,2,2,1,2,1,2,1,3
418,30,0,0,2,6,0,1,2,1,2
811,41,0,1,2,6,2,2,2,1,3
3,58,0,8,2,3,2,2,2,1,2
448,39,9,9,2,6,1,2,2,1,4
423,32,0,2,2,1,0,2,2,2,4
428,58,0,8,2,1,4,2,2,4,4
429,43,0,3,2,1,3,1,2,3,3
441,57,0,7,2,1,3,1,2,7,3
431,64,0,4,2,1,2,2,2,4,4
140,46,0,6,1,3,3,2,2,1,3
804,39,9,9,2,2,1,1,2,1,3
621,54,0,4,1,1,2,2,2,7,4
805,45,0,5,2,1,8,2,2,5,4
808,42,0,2,2,1,4,2,2,1,4
145,36,0,6,2,3,1,1,2,1,3
793,59,9,9,2,1,2,2,2,1,3
784,40,0,0,2,2,0,1,1,1,3
774,63,0,3,2,1,3,1,2,4,2
816,54,0,4,2,3,3,1,2,1,1
773,41,0,1,1,1,1,2,2,1,4
162,32,0,2,2,1,2,1,2,1,4
770,36,0,6,2,6,0,2,2,1,3
820,54,0,4,1,1,3,2,2,1,4
766,46,0,6,2,3,1,2,2,7,3
823,44,0,4,2,2,3,1,2,1,3
824,39,9,9,1,1,2,2,2,1,4
825,62,0,2,2,5,4,1,2,4,3
764,46,0,6,3,6,0,2,2,4,3
829,60,0,0,1,6,0,2,2,7,2
761,62,0,2,2,1,0,2,2,2,4
169,27,0,7,1,1,0,2,2,1,2
833,53,0,3,1,1,2,2,2,3,4
754,57,0,7,2,1,2,1,2,2,2
835,52,0,2,2,6,4,1,2,1,4
751,40,0,0,2,6,0,1,2,2,4
750,54,0,4,2,1,2,2,2,1,4
748,56,0,6,2,1,1,2,2,1,3
744,39,9,9,2,3,2,2,2,7,4
442,36,0,6,2,6,0,1,2,7,2
736,41,0,1,1,1,4,1,2,1,4
735,59,9,9,2,1,3,1,2,4,3
732,41,0,1,1,1,2,2,2,1,2
122,31,0,1,2,6,0,2,2,7,4
729,44,0,4,1,1,3,2,2,1,3
728,57,0,7,2,5,2,1,2,1,4
727,50,0,0,2,1,1,2,2,1,4
116,61,0,1,2,3,1,1,2,1,3
111,47,0,7,2,3,2,2,2,1,3
723,28,0,8,1,1,3,1,2,2,2
722,44,0,4,2,6,0,1,2,1,3
109,59,9,9,1,1,2,1,2,3,3
108,55,0,5,2,1,1,1,2,1,3
862,27,0,7,2,1,1,2,2,1,3
107,64,0,4,1,1,2,1,2,4,3
721,54,0,4,2,6,0,1,2,4,2
720,62,0,2,2,1,4,1,2,4,3
718,47,0,7,1,3,1,2,2,1,4
101,28,0,8,1,1,1,1,2,1,2
100,50,0,0,2,3,2,1,2,1,4
869,61,0,1,2,1,2,1,2,4,2
717,27,0,7,2,2,0,2,2,1,4
99,37,0,7,1,1,3,1,2,1,2
187,58,0,8,2,1,2,2,2,7,4
873,32,0,2,2,2,2,1,2,1,2
714,29,9,9,2,2,3,1,2,1,2
188,64,0,4,2,6,0,2,2,4,3
191,54,0,4,2,2,1,1,2,1,4
192,30,0,0,2,1,0,2,2,1,3
199,62,0,2,2,1,4,2,2,4,4
91,48,0,8,2,1,2,2,2,1,4
211,59,9,9,2,2,0,1,2,1,3
689,60,0,0,2,1,3,1,2,2,2
89,54,0,4,1,1,0,1,2,1,2
220,30,0,0,1,2,0,2,2,1,4
680,43,0,3,2,3,1,2,2,7,2
87,51,0,1,1,1,2,2,2,1,4
224,43,0,3,1,1,1,1,2,1,3
232,38,0,8,2,1,4,2,2,5,4
236,48,0,8,1,1,2,2,2,1,3
451,43,0,3,2,3,1,2,2,1,3
243,53,0,3,2,2,1,2,2,7,3
898,27,0,7,1,2,0,1,2,1,3
662,39,9,9,2,1,1,1,2,1,4
661,37,0,7,2,1,1,2,2,5,4
244,40,0,0,2,1,2,1,2,6,2
245,53,0,3,2,1,3,1,2,3,3
655,55,0,5,2,6,0,1,2,4,4
649,35,0,5,2,6,0,1,2,8,4
645,49,9,9,2,1,2,2,2,1,3
72,48,0,8,1,1,1,2,2,1,4
250,37,0,7,2,1,2,2,2,1,3
251,57,0,7,2,1,2,1,2,7,3
642,61,0,1,2,2,1,1,2,4,2
638,62,0,2,1,3,1,1,2,4,3
256,39,9,9,1,1,3,1,2,1,2
636,61,0,1,2,2,4,2,2,1,3
63,44,0,4,2,1,2,1,2,1,4
258,54,0,4,1,1,2,2,2,1,4
259,56,0,6,1,1,2,1,2,1,3
628,51,0,1,2,1,3,2,2,1,2
262,56,0,6,2,1,0,2,2,1,4
59,31,0,1,2,1,2,2,2,5,3
456,46,0,6,2,1,2,1,2,1,4
264,55,0,5,2,1,3,1,2,1,4
622,58,0,8,2,1,1,1,2,4,4
52,36,0,6,1,1,2,1,2,1,2
619,30,0,0,1,2,2,2,2,5,2
616,41,0,1,3,3,1,2,2,2,4
615,55,0,5,1,1,2,1,2,1,2
48,57,0,7,2,1,2,1,2,1,1
613,58,0,8,1,2,0,1,2,3,2
266,33,0,3,2,1,3,1,2,3,4
608,50,0,0,2,1,2,1,2,1,3
267,26,0,6,1,2,2,1,2,1,3
941,40,0,0,2,1,1,1,2,3,3
942,37,0,7,1,1,3,2,2,6,4
604,60,0,0,2,1,2,1,2,1,4
281,60,0,0,2,1,3,1,2,1,3
593,28,0,8,2,2,0,2,2,1,3
46,58,0,8,3,1,2,2,2,2,3
282,31,0,1,2,6,0,1,2,1,2
45,52,0,2,1,1,2,1,2,1,2
951,51,0,1,1,1,2,1,2,1,4
586,42,0,2,1,1,3,2,2,1,3
44,35,0,5,1,1,3,2,2,1,4
43,64,0,4,2,1,2,1,2,4,1
573,39,9,9,1,2,1,2,2,2,2
572,35,0,5,1,2,1,2,2,2,2
957,61,0,1,1,1,3,1,2,1,3
457,61,0,1,2,1,3,1,2,1,4
568,63,0,3,2,1,3,1,2,4,4
960,38,0,8,1,1,5,1,2,1,2
961,47,0,7,1,1,2,2,2,1,3
563,55,0,5,1,3,2,1,2,1,3
561,34,0,4,1,1,3,1,2,1,3
324,36,0,6,1,1,3,1,2,1,4
357,57,0,7,2,1,3,2,2,1,3
37,57,0,7,1,5,2,2,2,3,4
36,40,0,0,1,1,4,2,2,5,4
35,37,0,7,2,1,1,1,2,1,4
34,38,0,8,2,1,2,1,2,1,2
533,50,0,0,2,1,3,2,2,1,3
975,46,0,6,2,1,1,2,2,1,2
976,28,0,8,1,1,0,1,2,1,4
977,58,0,8,2,3,3,1,2,2,3
978,43,0,3,1,1,4,2,2,1,3
979,37,0,7,1,1,2,1,2,1,2
980,36,0,6,1,3,3,2,2,7,4
374,33,0,3,1,1,1,2,2,7,4
375,34,0,4,2,6,0,1,2,7,2
516,34,0,4,1,1,2,2,2,2,4
512,44,0,4,2,5,0,1,2,3,4
507,53,0,3,2,1,3,1,2,1,3
505,60,0,0,2,6,0,1,2,2,3
504,34,0,4,1,1,1,2,2,1,4
503,55,0,5,2,5,2,2,2,1,2
386,49,9,9,2,3,3,2,2,1,4
389,59,9,9,2,1,3,1,2,1,3
391,30,0,0,1,1,2,1,2,1,4
22,62,0,2,2,1,5,1,2,1,4
21,46,0,6,2,1,2,1,2,1,3
20,46,0,6,2,1,2,2,2,1,3
394,58,0,8,2,1,2,1,2,7,3
477,61,0,1,1,1,0,1,2,4,4
19,57,0,7,2,1,1,2,2,4,2
468,31,0,1,2,1,1,1,2,1,3
466,26,0,6,2,6,0,2,2,6,3
11,58,0,8,1,1,2,1,2,1,2
9,56,0,6,1,1,4,2,2,3,4
1006,47,0,7,2,1,2,2,2,7,4
8,44,0,4,2,1,3,2,2,2,4
1008,40,0,0,4,1,1,1,2,2,1
464,34,0,4,1,1,2,2,2,1,2
462,62,0,2,2,1,3,1,2,4,3
55,39,9,9,2,1,2,2,2,1,3
239,45,0,5,2,1,2,1,2,1,3
730,63,0,3,2,1,2,2,2,4,1
958,51,0,1,2,2,3,2,2,2,4
1,59,9,9,2,1,2,1,2,1,2
3,25,0,5,3,6,0,1,1,1,4
4,63,0,3,1,1,2,1,2,2,4
6,33,0,3,2,1,1,1,2,2,3
7,38,0,8,1,1,1,1,2,1,3
8,64,0,4,2,1,1,2,2,1,4
9,33,0,3,2,1,1,2,2,1,3
10,54,0,4,1,1,2,2,2,5,4
11,43,0,3,2,6,0,1,2,3,3
12,43,0,3,4,1,2,2,2,5,3
13,41,0,1,2,1,1,2,2,5,3
14,41,0,1,2,1,2,1,2,8,4
15,30,0,0,2,6,0,2,2,1,4
16,35,0,5,2,1,2,1,2,1,4
18,44,0,4,2,1,3,2,2,3,4
19,33,0,3,2,6,0,2,1,6,4
20,55,0,5,2,6,0,2,1,1,4
21,29,9,9,2,1,2,1,2,1,3
22,27,0,7,2,6,0,2,2,1,4
23,38,0,8,2,1,2,2,1,1,4
24,35,0,5,1,1,1,1,1,7,3
25,25,0,5,2,6,0,2,1,6,3
26,40,0,0,2,1,2,2,1,1,4
27,45,0,5,2,1,2,1,2,1,4
28,52,0,2,2,3,1,1,2,2,3
29,64,0,4,2,1,0,2,2,5,3
30,61,0,1,3,1,1,1,2,3,4
32,32,0,2,2,6,0,2,2,1,4
33,32,0,2,2,1,1,2,1,1,4
36,63,0,3,2,1,5,1,2,7,4
37,42,0,2,2,1,1,2,2,8,2
38,38,0,8,1,1,1,1,2,1,3
39,27,0,7,1,5,0,1,1,1,3
40,46,0,6,3,1,3,1,2,8,3
41,53,0,3,2,3,1,1,2,1,3
42,40,0,0,2,1,2,1,1,3,3
44,28,0,8,2,6,0,1,2,1,3
45,33,0,3,2,6,0,1,2,1,4
46,37,0,7,2,1,2,2,2,5,4
51,30,0,0,2,6,0,1,1,1,4
52,50,0,0,2,1,2,2,2,5,4
53,35,0,5,2,1,1,1,2,1,4
54,35,0,5,2,6,0,2,2,1,4
55,57,0,7,1,1,3,1,1,8,3
57,42,0,2,2,1,2,1,2,1,3
58,60,0,0,2,1,2,2,2,4,4
60,49,9,9,2,1,2,2,2,5,3
61,27,0,7,1,6,0,1,1,7,3
62,26,0,6,2,6,0,1,1,6,4
65,33,0,3,2,1,1,1,2,1,4
66,36,0,6,2,6,0,1,1,1,3
67,32,0,2,2,1,1,2,1,1,4
68,31,0,1,2,6,0,2,2,2,3
69,44,0,4,2,1,2,1,2,1,3
70,45,0,5,2,5,1,2,2,5,4
71,44,0,4,2,1,1,2,2,1,4
72,50,0,0,3,3,2,1,2,3,4
73,52,0,2,1,1,1,2,2,8,4
75,61,0,1,2,1,3,2,1,1,3
77,27,0,7,1,6,0,1,2,1,3
79,29,9,9,2,1,1,1,2,1,2
80,37,0,7,2,1,2,1,2,8,3
81,30,0,0,2,1,0,2,1,3,3
82,35,0,5,3,1,2,2,1,8,4
83,42,0,2,2,1,2,1,2,1,3
84,46,0,6,2,1,3,1,2,4,3
85,42,0,2,3,1,2,2,2,1,3
86,48,0,8,2,1,2,2,2,5,4
87,50,0,0,2,1,2,1,2,1,4
88,53,0,3,2,1,3,2,2,5,3
89,60,0,0,3,1,2,1,2,8,4
90,61,0,1,2,1,2,2,2,5,3
93,25,0,5,2,6,0,2,1,1,3
94,28,0,8,2,1,2,2,2,5,4
95,34,0,4,2,1,1,1,2,1,4
96,38,0,8,2,1,3,1,2,1,4
97,37,0,7,2,1,2,2,2,5,3
98,30,0,0,2,1,1,2,2,5,4
99,42,0,2,2,1,2,1,2,1,3
100,43,0,3,2,1,1,2,2,5,3
101,40,0,0,2,1,3,1,2,7,3
102,50,0,0,2,1,2,1,2,8,3
103,49,9,9,2,1,2,2,2,5,3
104,60,0,0,2,1,3,1,2,8,3
105,61,0,1,2,1,3,2,2,5,4
106,49,9,9,2,1,3,2,2,5,3
107,32,0,2,1,1,1,2,1,1,4
108,45,0,5,4,3,2,1,2,4,2
109,64,0,4,2,1,1,2,2,1,4
110,42,0,2,1,1,2,1,2,1,4
111,35,0,5,2,1,1,2,2,1,3
112,46,0,6,2,1,2,2,2,2,3
113,53,0,3,3,1,2,1,1,1,3
114,53,0,3,2,1,2,2,1,8,3
115,31,0,1,2,6,0,1,1,1,4
116,32,0,2,1,1,0,1,2,6,4
117,26,0,6,2,6,0,1,1,6,3
119,28,0,8,2,6,0,1,1,6,4
123,34,0,4,2,1,1,1,1,1,3
124,51,0,1,1,1,2,2,2,5,4
127,49,9,9,3,1,2,1,1,7,3
128,45,0,5,2,1,2,2,2,7,3
129,36,0,6,2,1,2,1,2,1,3
130,36,0,6,3,1,2,2,2,5,4
131,48,0,8,3,1,2,2,1,2,4
132,61,0,1,3,1,2,1,2,2,4
133,39,9,9,2,1,2,2,2,2,3
135,53,0,3,2,1,1,1,2,1,3
138,25,0,5,2,6,0,2,1,1,3
139,38,0,8,2,1,2,2,2,3,3
140,33,0,3,2,1,0,1,2,1,3
141,30,0,0,2,6,0,1,2,1,3
142,36,0,6,2,1,1,2,2,1,4
143,45,0,5,1,1,2,1,2,3,3
144,44,0,4,1,1,2,1,2,1,3
145,42,0,2,1,1,2,2,2,5,4
146,48,0,8,2,1,3,2,2,5,4
147,51,0,1,2,1,2,2,2,5,3
148,53,0,3,2,1,2,1,2,1,3
149,64,0,4,2,1,5,1,2,4,3
150,60,0,0,2,1,4,2,2,5,4
151,37,0,7,1,1,2,1,2,8,4
155,37,0,7,2,1,3,1,2,8,4
156,62,0,2,4,1,6,1,2,7,4
157,58,0,8,4,1,3,1,2,3,4
158,44,0,4,2,1,2,1,1,1,4
161,43,0,3,1,1,2,2,2,3,4
162,33,0,3,1,1,1,2,2,5,4
163,50,0,0,2,1,2,2,2,5,3
164,47,0,7,2,1,1,2,2,5,3
165,39,9,9,1,1,3,2,2,5,4
169,43,0,3,3,1,3,2,2,5,4
170,44,0,4,2,1,2,1,2,1,3
171,43,0,3,2,6,0,1,2,3,3
172,43,0,3,4,1,2,2,2,5,3
173,31,0,1,2,6,0,2,1,1,4
174,33,0,3,1,1,0,1,2,1,3
175,32,0,2,2,6,0,1,2,1,2
176,34,0,4,1,1,1,2,2,5,3
177,53,0,3,2,3,3,2,2,5,3
178,57,0,7,3,1,3,1,2,1,3
179,64,0,4,1,1,4,2,2,5,3
180,62,0,2,2,1,3,1,2,4,3
181,61,0,1,2,1,1,2,2,5,4
182,40,0,0,3,1,1,1,1,1,4
183,25,0,5,3,6,0,1,1,2,2
184,59,9,9,2,1,1,2,2,5,4
185,43,0,3,2,1,2,2,2,1,4
187,52,0,2,2,1,2,1,1,1,3
188,64,0,4,3,1,4,1,2,8,4
189,27,0,7,4,3,1,2,2,5,1
191,31,0,1,2,1,1,2,2,5,4
192,35,0,5,1,1,1,1,2,1,4
193,38,0,8,2,1,2,1,2,1,3
194,41,0,1,2,1,1,2,2,5,3
195,33,0,3,2,1,2,2,2,5,3
196,50,0,0,3,1,1,2,2,5,3
197,56,0,6,2,1,2,1,2,8,3
198,62,0,2,2,1,3,1,2,4,3
201,42,0,2,1,1,2,2,2,5,4
202,33,0,3,2,1,0,1,2,1,3
203,48,0,8,3,1,2,1,1,7,3
204,46,0,6,2,1,2,2,2,2,3
205,35,0,5,3,1,2,2,1,8,4
206,44,0,4,2,1,2,1,2,1,3
207,38,0,8,2,1,2,2,2,5,4
209,35,0,5,1,1,1,1,1,7,3
210,29,9,9,2,1,2,1,2,1,3
211,53,0,3,2,1,2,1,1,8,4
212,51,0,1,2,1,2,2,2,5,4
213,25,0,5,2,6,0,2,1,1,3
214,38,0,8,2,1,2,2,2,5,3
215,40,0,0,2,1,2,2,2,8,4
217,35,0,5,2,1,2,1,2,1,4
218,40,0,0,1,1,3,2,1,1,2
219,34,0,4,2,6,0,1,2,1,4
220,34,0,4,2,6,0,2,2,1,4
221,26,0,6,2,6,0,1,1,2,2
222,29,9,9,2,6,0,1,1,1,3
223,62,0,2,2,5,3,1,2,7,3
224,41,0,1,2,1,2,1,2,8,4
229,38,0,8,2,1,1,1,2,1,3
230,38,0,8,2,1,2,1,2,3,4
231,30,0,0,2,6,0,2,2,1,4
232,35,0,5,2,1,3,2,2,1,4
233,40,0,0,2,6,0,1,2,8,4
234,49,9,9,2,1,2,1,2,3,4
235,43,0,3,3,1,1,2,2,8,4
236,49,9,9,2,1,2,2,2,5,4
237,55,0,5,2,1,2,1,2,8,4
238,51,0,1,2,1,2,2,2,8,4
239,63,0,3,2,1,2,1,1,4,3
240,63,0,3,3,1,2,2,2,8,2
241,45,0,5,1,1,2,2,2,5,3
242,37,0,7,2,1,1,2,2,1,3
243,43,0,3,2,1,3,1,2,1,4
244,56,0,6,2,1,2,1,2,8,3
245,33,0,3,2,1,1,1,1,3,3
248,64,0,4,2,5,1,1,1,1,4
249,42,0,2,1,1,2,2,2,3,2
250,50,0,0,3,1,1,2,2,5,3
251,33,0,3,2,1,1,2,2,5,4
254,34,0,4,2,6,0,1,1,1,3
255,60,0,0,2,1,3,2,2,5,3
256,25,0,5,2,6,0,1,2,2,3
259,34,0,4,1,1,1,1,2,1,3
260,37,0,7,2,1,2,1,1,1,2
261,38,0,8,1,1,1,2,2,5,2
262,32,0,2,1,6,0,2,2,1,1
263,44,0,4,3,1,2,1,2,1,2
264,46,0,6,2,1,2,1,2,1,2
265,45,0,5,2,1,2,2,2,2,3
266,47,0,7,2,1,3,2,2,5,3
267,50,0,0,1,1,2,1,2,1,3
268,54,0,4,2,1,2,2,2,5,1
269,53,0,3,1,1,3,2,2,5,4
270,63,0,3,1,1,3,2,2,5,3
271,45,0,5,3,1,1,1,1,1,3
272,27,0,7,2,6,0,1,1,2,3
273,26,0,6,2,6,0,2,1,7,3
275,25,0,5,1,6,0,2,1,2,2
276,31,0,1,2,6,0,2,1,1,4
277,34,0,4,2,1,1,2,2,1,4
278,37,0,7,2,1,2,1,2,1,3
279,34,0,4,3,1,1,1,2,1,3
280,43,0,3,2,1,2,2,2,3,2
281,48,0,8,2,1,1,2,2,5,2
282,55,0,5,2,1,3,1,2,7,3
283,57,0,7,2,1,3,2,2,5,4
284,64,0,4,1,3,0,1,2,7,2
285,64,0,4,2,5,7,2,2,5,3
286,30,0,0,1,1,1,2,2,1,3
287,30,0,0,2,1,1,1,2,1,2
288,46,0,6,2,1,3,1,2,1,4
289,60,0,0,2,2,1,1,2,1,1
291,64,0,4,2,5,2,2,2,2,1
292,43,0,3,2,1,1,2,2,1,3
293,57,0,7,3,1,2,1,2,8,4
294,53,0,3,3,1,2,2,2,2,3
296,25,0,5,2,6,0,2,1,1,4
297,27,0,7,2,1,1,1,2,1,4
298,40,0,0,2,1,0,2,2,5,3
299,43,0,3,2,1,3,1,2,1,4
300,38,0,8,2,1,2,1,2,1,4
301,34,0,4,2,1,2,2,1,1,3
302,26,0,6,2,6,0,1,1,7,3
303,28,0,8,3,1,2,1,2,2,4
304,25,0,5,3,1,2,2,2,5,1
306,34,0,4,2,1,1,1,2,1,3
307,33,0,3,3,3,0,1,2,8,2
308,32,0,2,2,6,0,2,1,1,4
309,47,0,7,2,3,3,2,2,7,3
310,43,0,3,3,1,2,2,2,5,2
311,44,0,4,2,3,3,2,2,5,3
312,53,0,3,1,6,0,1,2,7,2
313,55,0,5,1,6,0,2,1,5,2
314,62,0,2,2,5,4,1,2,4,2
315,64,0,4,2,1,3,2,2,5,3
316,62,0,2,2,1,4,2,2,5,4
318,43,0,3,2,1,2,1,2,1,2
319,28,0,8,3,1,1,1,2,1,2
322,31,0,1,2,1,1,1,2,1,2
323,35,0,5,1,1,2,2,2,5,3
324,37,0,7,3,1,1,2,2,2,2
325,46,0,6,2,1,2,1,2,3,2
326,42,0,2,2,1,2,2,2,3,2
327,48,0,8,2,1,1,2,2,5,2
328,54,0,4,2,1,2,1,2,3,2
329,62,0,2,3,1,3,1,2,4,2
330,57,0,7,2,1,3,2,2,5,4
331,47,0,7,2,1,2,1,2,1,4
334,28,0,8,2,6,0,2,2,1,3
336,38,0,8,1,1,1,1,2,1,2
337,33,0,3,3,1,2,1,2,1,2
338,34,0,4,2,1,2,2,2,5,3
339,32,0,2,2,1,3,2,2,1,2
341,64,0,4,2,1,6,1,2,4,3
342,55,0,5,2,1,3,1,2,7,3
343,53,0,3,2,1,3,2,2,5,3
344,44,0,4,2,1,3,2,2,1,3
345,45,0,5,2,1,2,2,2,5,3
348,37,0,7,2,1,2,2,2,1,4
349,44,0,4,2,5,1,2,2,1,4
350,51,0,1,2,1,2,2,2,1,4
352,41,0,1,1,6,0,2,1,1,4
354,34,0,4,2,6,0,1,1,1,3
355,31,0,1,2,1,0,1,2,1,3
356,43,0,3,2,1,2,1,2,8,3
357,41,0,1,2,1,2,1,2,1,4
358,50,0,0,2,1,2,1,2,3,3
